epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,10396.3,0.52556,0.34249,0.85105,0.99413,0.99685,0.99331,0.87423,0.57449,0.32027,0.81689,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,10597.7,0.52712,0.34874,0.85301,0.99075,0.99412,0.99456,0.88274,0.56233,0.30977,0.81601,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,10798.2,0.52106,0.34143,0.84996,0.9923,0.99118,0.9939,0.87484,0.56712,0.3076,0.81729,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,10999.4,0.51884,0.33261,0.84681,0.99411,0.99222,0.9939,0.87863,0.56118,0.30822,0.81607,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,11202.8,0.51107,0.33307,0.84823,0.98969,0.99412,0.99392,0.88024,0.56101,0.30663,0.81591,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,11403.6,0.51459,0.32554,0.84379,0.99288,0.99412,0.99347,0.88779,0.55761,0.29833,0.81573,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,11603.7,0.50699,0.32565,0.8435,0.99332,0.99412,0.99413,0.8891,0.54778,0.29723,0.81239,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,11804.1,0.51516,0.32987,0.84873,0.99116,0.99412,0.99408,0.88319,0.55457,0.29807,0.81294,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,12004.5,0.50609,0.31335,0.84213,0.99074,0.99412,0.99391,0.87867,0.56202,0.29653,0.81631,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,12204.6,0.50572,0.32009,0.8466,0.99121,0.99485,0.99446,0.88497,0.55709,0.30073,0.81354,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
